rank2Days,country2Days,totalCases2Days,newCases2Days,totalDeaths2Days,newDeaths2Days,totalRecovered2Days,newRecovered2Days,activeCases2Days,seriousCritical2Days,casesPerMillion2Days,deathsPerMillion2Days,totalTests2Days,testsPerMillion2Days,population2Days
30,Israel,4739416,1055,11919,13,4715756,1134,11741,57,508194,1278,41373364,4436346,9326000
31,Thailand,4715489,3961,33392,107,4649509,None,32588,1496,67289,476,17270775,246450,70078203
32,Belgium,4654473,1607,33133,8,4589999,376,31341,48,398900,2840,36225338,3104600,11668278
33,Czechia,4567476,111,41969,3,4517231,897,8276,51,425404,3909,56674778,5278562,10736784
34,Canada,4440839,2541,48353,44,4329026,4898,63460,99,115682,1260,66343123,1728207,38388419
35,Peru,4362281,3072,217679,22,4020406,8851,124196,135,129505,6462,36868302,1094528,33684208
36,Switzerland,4349854,784,14352,4,4253501,3110,82001,66,495787,1636,23068899,2629343,8773637
37,Philippines,4050075,1145,64902,22,3966788,878,18385,162,35998,577,33819287,300592,112508994
38,South Africa,4045262,None,102550,None,3912506,None,30206,192,66582,1688,26473049,435726,60756135
39,Romania,3301662,2924,67310,21,3227158,None,7194,98,173486,3537,25884901,1360120,19031335
40,Denmark,3154696,1156,7596,17,3138873,997,8227,9,540655,1302,128896197,22090369,5834950
41,Sweden,2640369,None,21202,None,2599230,574,19937,33,258379,2075,19180453,1876946,10218971
42,Iraq,2464375,None,25366,None,2437963,None,1046,21,58446,602,19448292,461243,42164965
43,Serbia,2430656,746,17441,3,2402751,566,10464,17,280903,2016,11717606,1354164,8653016
44,Hong Kong,2261726,14717,10984,25,1936736,4964,314006,27,297427,1444,70602097,9284498,7604299
45,Singapore,2181788,740,1707,None,2107392,1284,72689,6,367085,287,24624319,4143035,5943546
46,Hungary,2171056,None,48337,None,2109635,None,13084,14,226004,5032,11394556,1186160,9606259
47,Bangladesh,2036825,19,29437,1,1986486,36,20902,1331,12132,175,15113013,90020,167885689
48,New Zealand,2019685,5724,3371,5,1977388,4927,38926,None,412332,688,7677843,1567482,4898203
49,Slovakia,1857211,22,20764,3,1834943,35,1504,23,340137,3803,7362298,1348359,5460193
50,Georgia,1807654,None,16888,None,1776548,None,14218,None,455473,4255,16920079,4263340,3968738
